ProductID,ProductName,ProductGroupID,Price,Manufacturer,WarrantyPeriod,StockQuantity,Description,Color,Weight,Dimensions,ReleaseDate
152,Headphone B,1,905.83,ScreenMasters,12 months,471,Speak accept happen identify really ago.,Blue,12.52 kg,50x17x10 inches,2024-04-08
153,Smartphone X,3,752.51,CompTech,19 months,220,Defense inside must provide point.,Silver,14.58 kg,57x17x8 inches,2024-08-05
154,Laptop Y,3,409.69,ImagePro,27 months,355,Leg house fund decision have.,Red,2.05 kg,15x21x9 inches,2024-05-12
155,Laptop Y,1,1163.48,ScreenMasters,23 months,375,Message able camera indeed data plan.,Black,4.48 kg,16x13x6 inches,2024-07-19
156,Smartphone X,4,1054.59,TechCorp,36 months,426,Mrs rest time fire east.,Gray,7.29 kg,11x35x10 inches,2024-01-07
157,Laptop Y,3,1118.39,ImagePro,33 months,274,Pressure road customer you education adult.,Gray,1.8 kg,55x27x9 inches,2024-05-30
158,Monitor G,2,1453.96,TechCorp,24 months,169,Drug hundred point try.,Black,8.58 kg,41x5x3 inches,2024-01-22
159,Camera C,3,1430.81,SoundWorks,21 months,69,Until power research boy age able.,Black,3.78 kg,25x36x3 inches,2024-02-22
160,Headphone B,5,666.38,ImagePro,18 months,400,Raise cost task instead.,Black,13.3 kg,13x5x2 inches,2024-04-02
161,Bluetooth Speaker F,5,642.23,CompTech,22 months,237,Choice doctor when letter short still.,Gray,6.83 kg,17x36x10 inches,2024-06-11
162,Smartwatch D,1,292.01,ScreenMasters,30 months,193,Few administration so cell either.,White,3.93 kg,14x23x8 inches,2024-03-06
163,Monitor G,1,467.13,ScreenMasters,28 months,421,Very build speech test last.,Red,1.99 kg,46x8x4 inches,2024-03-24
164,Smartwatch D,1,536.71,CompTech,16 months,143,Then foot unit gas weight board defense.,White,1.85 kg,18x6x5 inches,2024-07-30
165,Smartwatch D,3,1231.75,CompTech,22 months,432,Gun able act.,White,8.41 kg,36x10x10 inches,2024-02-25
166,Camera C,4,845.05,SoundWorks,31 months,277,Ball white join deal plan record standard.,Red,2.87 kg,9x21x9 inches,2024-07-13
167,Headphone B,4,1457.48,TechCorp,36 months,343,Answer some gas pay off.,White,4.02 kg,48x21x6 inches,2024-04-05
168,Smart TV Z,1,439.24,SoundWorks,34 months,112,Station cut foot surface letter when over.,Black,3.48 kg,40x6x9 inches,2024-03-27
169,Smart TV Z,1,394.26,ImagePro,20 months,276,Never clearly create any candidate serious.,Red,5.97 kg,43x33x7 inches,2024-02-22
170,Laptop Y,2,1114.75,ImagePro,26 months,241,Say practice receive catch though knowledge.,Blue,6.17 kg,17x28x3 inches,2024-07-26
171,Bluetooth Speaker F,1,842.96,TechCorp,30 months,323,Almost remain under possible.,Blue,12.07 kg,7x31x7 inches,2024-03-01
172,Game Console E,5,456.8,TechCorp,24 months,432,Through resource dream only than writer.,Silver,10.17 kg,24x9x6 inches,2024-04-10
173,Tablet A,4,815.29,SoundWorks,23 months,407,Industry nice girl per.,Gray,13.41 kg,22x10x3 inches,2024-07-28
174,Monitor G,3,1239.18,CompTech,23 months,109,Her we central professional fall fear.,Gray,11.69 kg,52x15x8 inches,2024-05-14
175,Game Console E,2,1173.29,ScreenMasters,28 months,434,Administration give student perform energy evening.,Silver,6.71 kg,50x30x3 inches,2024-01-02
176,Smart TV Z,1,148.6,ImagePro,26 months,210,Parent one win bad guy young main.,Silver,14.06 kg,52x39x2 inches,2024-01-03
177,Smartphone X,4,1024.15,TechCorp,33 months,496,Beat energy wish difficult mouth.,Red,4.78 kg,38x13x6 inches,2024-07-29
178,Monitor G,5,827.23,ImagePro,23 months,405,Under plant dog might American here lay.,Gray,11.32 kg,59x18x2 inches,2024-02-08
179,Smartphone X,5,935.68,TechCorp,15 months,426,Late bank actually grow move those concern.,Gray,12.66 kg,41x27x5 inches,2024-06-24
180,Smartwatch D,1,1141.13,SoundWorks,33 months,214,Laugh just treatment enter.,White,1.91 kg,11x8x7 inches,2024-02-05
181,Smartphone X,1,1305.67,CompTech,26 months,165,Serve gas father explain public property middle.,Black,2.85 kg,19x38x4 inches,2024-04-13
182,Smart TV Z,5,497.19,SoundWorks,33 months,415,Skill drive then operation.,Red,9.84 kg,55x28x7 inches,2024-04-10
183,Headphone B,2,1465.84,SoundWorks,26 months,158,Effect coach seven laugh always who.,Gray,8.41 kg,21x21x4 inches,2024-03-25
184,Game Console E,2,1120.03,TechCorp,35 months,399,Sense son adult apply agency those.,Blue,13.23 kg,18x6x4 inches,2024-07-13
185,Headphone B,3,430.35,SoundWorks,14 months,202,Because somebody eat.,Red,6.24 kg,17x20x4 inches,2024-06-12
186,Bluetooth Speaker F,4,834.47,ScreenMasters,25 months,405,Simply since mention either according.,Silver,11.98 kg,33x30x4 inches,2024-03-27
187,Tablet A,5,976.6,SoundWorks,16 months,178,Officer yeah while blood quite very call.,Red,8.28 kg,43x16x9 inches,2024-05-06
188,Camera C,4,1343.77,CompTech,17 months,461,Catch song policy.,Gray,8.76 kg,33x30x10 inches,2024-05-08
189,Game Console E,4,903.4,CompTech,31 months,92,Hotel whether do within across.,Red,9.0 kg,30x31x7 inches,2024-02-13
190,Game Console E,5,468.27,ImagePro,12 months,263,Standard plan let story others.,White,7.22 kg,10x21x4 inches,2024-01-03
191,Bluetooth Speaker F,2,744.18,ImagePro,26 months,112,Matter world keep model watch.,Black,4.73 kg,58x13x4 inches,2024-06-12
192,Laptop Y,5,485.49,ImagePro,30 months,151,However suffer various situation indicate several.,Silver,6.7 kg,31x14x4 inches,2024-05-27
193,Monitor G,5,878.91,CompTech,20 months,490,Ask water specific yeah there president.,White,12.42 kg,44x12x4 inches,2024-05-14
194,Game Console E,5,664.39,SoundWorks,36 months,283,Board answer reflect believe hear she behind.,Gray,4.25 kg,49x32x4 inches,2024-03-06
195,Monitor G,4,517.89,TechCorp,25 months,102,Easy stay value someone.,Red,2.79 kg,47x29x9 inches,2024-05-12
196,Laptop Y,3,868.27,TechCorp,31 months,161,Should large really and go crime attack.,White,3.32 kg,15x14x3 inches,2024-07-06
197,Headphone B,5,974.72,TechCorp,32 months,334,View lose inside behavior walk eight child.,Blue,0.92 kg,32x27x2 inches,2024-01-05
198,Headphone B,5,160.77,CompTech,28 months,197,Throughout hospital almost phone environment media not.,Black,13.81 kg,28x35x3 inches,2024-07-19
199,Bluetooth Speaker F,1,1000.48,SoundWorks,21 months,448,Participant near all upon boy interview dinner.,Blue,2.54 kg,25x17x9 inches,2024-01-24
200,Tablet A,5,799.07,ImagePro,17 months,159,Five bill age system everybody.,Red,5.56 kg,18x23x6 inches,2024-02-17
